site_id,issue_time,available_at,valid_time,variable,value,unit,source,quantile,member
gb-london-reference,2026-07-31T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,air_temperature,20.3,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T01:00:00Z,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z,air_temperature,19.5,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T02:00:00Z,2026-08-01T00:00:00Z,2026-08-01T02:00:00Z,air_temperature,19.1,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T03:00:00Z,2026-08-01T00:00:00Z,2026-08-01T03:00:00Z,air_temperature,18.3,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T04:00:00Z,2026-08-01T00:00:00Z,2026-08-01T04:00:00Z,air_temperature,17.6,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T05:00:00Z,2026-08-01T00:00:00Z,2026-08-01T05:00:00Z,air_temperature,17.2,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T06:00:00Z,2026-08-01T00:00:00Z,2026-08-01T06:00:00Z,air_temperature,17,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T07:00:00Z,2026-08-01T00:00:00Z,2026-08-01T07:00:00Z,air_temperature,17.6,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T08:00:00Z,2026-08-01T00:00:00Z,2026-08-01T08:00:00Z,air_temperature,18.4,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T09:00:00Z,2026-08-01T00:00:00Z,2026-08-01T09:00:00Z,air_temperature,19.6,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T10:00:00Z,2026-08-01T00:00:00Z,2026-08-01T10:00:00Z,air_temperature,20.5,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T11:00:00Z,2026-08-01T00:00:00Z,2026-08-01T11:00:00Z,air_temperature,21.8,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T12:00:00Z,2026-08-01T00:00:00Z,2026-08-01T12:00:00Z,air_temperature,23.8,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T13:00:00Z,2026-08-01T00:00:00Z,2026-08-01T13:00:00Z,air_temperature,25.1,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T14:00:00Z,2026-08-01T00:00:00Z,2026-08-01T14:00:00Z,air_temperature,25.7,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T15:00:00Z,2026-08-01T00:00:00Z,2026-08-01T15:00:00Z,air_temperature,25.9,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T16:00:00Z,2026-08-01T00:00:00Z,2026-08-01T16:00:00Z,air_temperature,26,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T17:00:00Z,2026-08-01T00:00:00Z,2026-08-01T17:00:00Z,air_temperature,25.8,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T18:00:00Z,2026-08-01T00:00:00Z,2026-08-01T18:00:00Z,air_temperature,25.8,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T19:00:00Z,2026-08-01T00:00:00Z,2026-08-01T19:00:00Z,air_temperature,25,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T20:00:00Z,2026-08-01T00:00:00Z,2026-08-01T20:00:00Z,air_temperature,24,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T21:00:00Z,2026-08-01T00:00:00Z,2026-08-01T21:00:00Z,air_temperature,22.8,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T22:00:00Z,2026-08-01T00:00:00Z,2026-08-01T22:00:00Z,air_temperature,22.4,degC,open-meteo-previous-runs-24h-lead,,
gb-london-reference,2026-07-31T23:00:00Z,2026-08-01T00:00:00Z,2026-08-01T23:00:00Z,air_temperature,22.1,degC,open-meteo-previous-runs-24h-lead,,
