site_id,region_id,issue_time,available_at,valid_time,signal,value,unit,source,quality,quantile
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,carbon_intensity,165.5,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T00:00:00Z,carbon_intensity,157,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,energy_price,0.12,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T01:00:00Z,2026-08-01T00:00:00Z,energy_price,0.12,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z,carbon_intensity,158.5,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T01:00:00Z,carbon_intensity,134,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z,energy_price,0.12,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T02:00:00Z,2026-08-01T01:00:00Z,energy_price,0.12,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T02:00:00Z,carbon_intensity,149,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T02:00:00Z,carbon_intensity,121,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T02:00:00Z,energy_price,0.12,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T03:00:00Z,2026-08-01T02:00:00Z,energy_price,0.12,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T03:00:00Z,carbon_intensity,125,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T03:00:00Z,carbon_intensity,119,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T03:00:00Z,energy_price,0.12,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T04:00:00Z,2026-08-01T03:00:00Z,energy_price,0.12,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T04:00:00Z,carbon_intensity,38.5,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T04:00:00Z,carbon_intensity,115.5,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T04:00:00Z,energy_price,0.12,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T05:00:00Z,2026-08-01T04:00:00Z,energy_price,0.12,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T05:00:00Z,carbon_intensity,119,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T05:00:00Z,carbon_intensity,112,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T05:00:00Z,energy_price,0.12,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T06:00:00Z,2026-08-01T05:00:00Z,energy_price,0.12,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T06:00:00Z,carbon_intensity,105,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T06:00:00Z,carbon_intensity,94,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T06:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T07:00:00Z,2026-08-01T06:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T07:00:00Z,carbon_intensity,87,gCO2e / kWh,neso-national-hourly-mean,forecast,
